   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
a
0;;-48;61;-48;-75;-63;61;61;-76;-48;49;-76;-75;-63;-75;-63;-63;49;61;-75;-48;61;-63;-76;-76;-75;49;-48;-76;49;49;49;49;-76;-48;49;-75;-76;-76;-63;61;-48;-75;61;49;-63;-63;-75;-63;-75;-76;49;-48;-76;61;61;-63;-75;-48;61;-48;
1;-52;50;68;55;57;70;;-76;48;73;-64;60;71;66;72;72;58;55;-54;67;70;57;60;57;49;58;68;-64;55;-68;62;62;-68;55;-64;68;58;49;57;60;57;70;67;-54;55;58;72;72;66;71;60;-64;73;48;-76;;70;57;55;68;50;
2;74;66;72;68;52;59;48;61;75;60;55;-60;-72;-60;70;64;68;-52;61;47;50;62;63;51;62;-72;63;-56;70;65;70;70;65;70;-56;63;-72;62;51;63;62;50;47;61;-52;68;64;70;-60;-72;-60;55;60;75;61;48;59;52;68;72;66;
3;-72;69;54;67;-60;70;52;58;54;76;66;69;62;56;56;-48;67;53;66;69;64;64;;-60;74;-56;67;75;51;57;52;52;57;51;75;67;-56;74;-60;;64;64;69;66;53;67;-48;56;56;62;69;66;76;54;58;52;70;-60;67;54;69;
4;-72;67;52;76;62;-48;66;64;74;75;52;51;-56;;69;67;56;66;58;-60;69;54;70;54;69;56;53;64;-60;67;57;57;67;-60;64;53;56;69;54;70;54;69;-60;58;66;56;67;69;;-56;51;52;75;74;64;66;-48;62;76;52;67;
5;-72;67;52;76;62;-48;66;64;74;75;52;51;-56;;69;67;56;66;58;-60;69;54;70;54;69;56;53;64;-60;67;57;57;67;-60;64;53;56;69;54;70;54;69;-60;58;66;56;67;69;;-56;51;52;75;74;64;66;-48;62;76;52;67;
6;-50;54;65;73;69;-63;60;-64;74;49;52;56;54;52;61;63;62;-52;56;-72;-64;61;76;-68;58;59;72;62;64;77;-54;-54;77;64;62;72;59;58;-68;76;61;-64;-72;56;-52;62;63;61;52;54;56;52;49;74;-64;60;-63;69;73;65;54;
7;74;-56;61;50;70;-60;62;48;70;66;63;75;47;64;-72;63;59;65;72;-72;60;61;68;-60;51;52;70;68;62;55;-52;-52;55;62;68;70;52;51;-60;68;61;60;-72;72;65;59;63;-72;64;47;75;63;66;70;48;62;-60;70;50;61;-56;
8;-50;73;60;49;54;63;56;61;58;62;-54;64;59;76;-72;62;52;52;-64;69;54;65;-63;74;56;61;-52;-64;-68;72;77;77;72;-68;-64;-52;61;56;74;-63;65;54;69;-64;52;52;62;-72;76;59;64;-54;62;58;61;56;63;54;49;60;73;
9;-52;73;-54;-64;58;58;-76;68;60;70;-68;57;72;70;57;66;60;62;57;71;55;;72;49;55;67;-64;50;48;55;68;68;55;48;50;-64;67;55;49;72;;55;71;57;62;60;66;57;70;72;57;-68;70;60;68;-76;58;58;-64;-54;73;
10;-50;73;60;49;54;63;56;61;58;62;-54;64;59;76;-72;62;52;52;-64;69;54;65;-63;74;56;61;-52;-64;-68;72;77;77;72;-68;-64;-52;61;56;74;-63;65;54;69;-64;52;52;62;-72;76;59;64;-54;62;58;61;56;63;54;49;60;73;
11;-50;62;-64;-64;61;52;61;60;64;54;72;74;-72;63;54;76;-63;77;65;59;49;56;62;56;-68;69;-54;73;58;52;-52;-52;52;58;73;-54;69;-68;56;62;56;49;59;65;77;-63;76;54;63;-72;74;72;54;64;60;61;52;61;-64;-64;62;
12;-52;-64;-76;70;72;66;57;;55;50;68;48;67;72;71;60;70;-68;68;58;73;-54;58;60;57;57;62;55;49;-64;55;55;-64;49;55;62;57;57;60;58;-54;73;58;68;-68;70;60;71;72;67;48;68;50;55;;57;66;72;70;-76;-64;
13;-52;50;68;55;57;70;;-76;48;73;-64;60;71;66;72;72;58;55;-54;67;70;57;60;57;49;58;68;-64;55;-68;62;62;-68;55;-64;68;58;49;57;60;57;70;67;-54;55;58;72;72;66;71;60;-64;73;48;-76;;70;57;55;68;50;
14;-72;64;64;69;69;;54;66;-60;67;53;74;-60;67;-56;70;-48;67;52;56;75;58;56;51;54;62;57;76;69;52;66;66;52;69;76;57;62;54;51;56;58;75;56;52;67;-48;70;-56;67;-60;74;53;67;-60;66;54;;69;69;64;64;
15;-52;-64;-76;70;72;66;57;;55;50;68;48;67;72;71;60;70;-68;68;58;73;-54;58;60;57;57;62;55;49;-64;55;55;-64;49;55;62;57;57;60;58;-54;73;58;68;-68;70;60;71;72;67;48;68;50;55;;57;66;72;70;-76;-64;
16;-52;70;57;50;67;60;68;-54;57;55;55;49;57;58;58;70;72;68;;72;-64;-76;66;55;48;71;-68;73;60;62;-64;-64;62;60;73;-68;71;48;55;66;-76;-64;72;;68;72;70;58;58;57;49;55;55;57;-54;68;60;67;50;57;70;
17;-50;54;65;73;69;-63;60;-64;74;49;52;56;54;52;61;63;62;-52;56;-72;-64;61;76;-68;58;59;72;62;64;77;-54;-54;77;64;62;72;59;58;-68;76;61;-64;-72;56;-52;62;63;61;52;54;56;52;49;74;-64;60;-63;69;73;65;54;
18;74;60;61;-56;-72;68;61;72;-60;50;65;51;70;59;52;-60;63;70;62;-72;68;48;64;62;70;47;55;66;75;-52;63;63;-52;75;66;55;47;70;62;64;48;68;-72;62;70;63;-60;52;59;70;51;65;50;-60;72;61;68;-72;-56;61;60;
19;-72;69;54;67;-60;70;52;58;54;76;66;69;62;56;56;-48;67;53;66;69;64;64;;-60;74;-56;67;75;51;57;52;52;57;51;75;67;-56;74;-60;;64;64;69;66;53;67;-48;56;56;62;69;66;76;54;58;52;70;-60;67;54;69;
20;-52;70;57;50;67;60;68;-54;57;55;55;49;57;58;58;70;72;68;;72;-64;-76;66;55;48;71;-68;73;60;62;-64;-64;62;60;73;-68;71;48;55;66;-76;-64;72;;68;72;70;58;58;57;49;55;55;57;-54;68;60;67;50;57;70;
