   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82
a
0;;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;
1;84;90;76;78;70;81;72;79;79;76;78;-80;95;-96;-92;-88;82;93;96;70;75;69;96;100;77;98;93;84;78;77;80;-88;87;68;93;73;-72;-84;94;84;98;87;81;70;84;74;-84;-96;95;75;100;81;-80;88;91;90;84;75;70;91;68;72;99;93;98;72;75;86;-80;-76;-72;73;-88;90;92;89;89;96;87;98;90;92;78;
2;-84;78;-68;86;78;85;93;82;78;86;87;-96;-96;84;90;90;93;80;92;102;69;72;68;85;74;-96;85;80;101;95;-80;;80;-80;96;75;88;99;90;89;97;77;91;71;79;78;69;80;93;72;-88;88;;-88;73;67;88;83;-72;94;83;100;96;99;66;76;88;75;78;78;84;-72;-72;81;82;90;86;75;83;90;82;-100;90;
3;84;93;93;81;-80;76;70;-72;88;-72;70;69;94;90;-88;72;100;98;75;92;79;98;81;91;89;78;84;84;72;87;95;77;-84;93;90;-92;-88;95;72;78;82;68;100;86;90;96;73;-80;-76;78;75;-84;91;73;81;96;84;84;90;79;77;87;70;89;76;93;70;68;96;-80;78;74;99;98;-96;80;-96;98;92;-88;87;75;75;
4;84;-88;99;78;87;-88;75;81;78;80;72;76;98;73;70;100;92;77;68;79;84;-72;96;75;90;78;91;79;94;-76;93;95;98;84;70;72;-84;-80;82;-96;87;93;75;81;-72;86;-88;-84;96;98;84;70;73;75;-92;74;89;77;90;78;93;72;-96;84;89;100;91;76;68;98;95;70;92;96;88;90;87;93;-80;81;90;69;-80;
5;-84;78;78;-96;93;69;74;101;80;88;97;79;93;;88;83;66;78;-72;86;82;78;85;86;84;80;72;-96;95;-80;99;77;78;72;-88;83;100;76;78;81;75;-100;-68;93;87;90;92;68;85;-80;96;90;91;69;-88;73;-72;96;88;84;82;83;90;86;82;-96;90;102;85;80;;75;89;71;80;88;67;94;99;75;-72;90;90;
6;-84;80;96;88;78;-68;102;88;-88;84;78;72;90;67;-72;93;85;97;83;82;78;-96;91;94;86;87;80;79;100;83;-96;95;69;99;82;90;;93;76;90;93;-80;-88;75;78;92;75;;78;86;69;99;73;-72;85;68;89;88;81;82;74;77;-72;90;86;85;71;83;75;-96;101;78;96;90;84;-80;80;66;-100;90;80;72;88;
7;84;93;70;100;78;75;-84;93;72;-76;75;77;76;-88;-80;87;95;89;90;73;-88;87;70;94;96;92;72;87;69;90;98;84;77;70;86;-96;84;79;-72;100;80;78;90;88;68;-96;89;84;-72;82;98;91;84;70;78;99;81;96;76;72;74;98;81;-80;95;78;79;73;81;-88;-80;92;91;93;-92;96;75;-84;93;90;68;98;75;
8;-84;;96;87;77;-72;69;88;90;-80;100;86;97;-72;102;-88;-100;95;83;78;89;84;92;72;82;101;94;82;90;78;80;93;90;80;-72;93;99;78;93;80;83;85;83;85;88;75;90;69;75;-96;88;78;75;88;90;78;86;74;67;86;96;76;84;79;90;85;73;-68;-80;66;-96;71;82;68;-88;78;80;99;-96;91;81;72;;
9;84;98;90;-84;96;93;92;-88;73;78;-80;98;72;96;99;70;91;82;84;-96;88;78;100;79;-96;70;84;90;87;92;94;87;73;89;87;-88;77;-76;93;75;100;93;75;68;93;75;-92;91;-80;81;79;95;81;74;76;81;78;84;98;-72;89;68;90;80;-72;84;86;77;98;69;72;96;70;-88;90;95;-80;76;75;72;-84;78;70;
10;84;87;78;98;92;84;90;94;98;-84;87;-72;96;73;89;93;89;68;92;87;90;-88;-88;80;73;77;-72;78;-76;84;-80;93;86;98;75;77;72;100;98;96;93;69;99;75;72;70;68;96;91;93;70;82;75;-88;84;-92;90;-96;91;95;88;-80;-80;78;81;76;100;79;75;79;95;72;-96;81;-84;70;74;78;84;76;70;90;81;
11;84;81;70;-72;94;72;75;98;89;84;95;93;-88;78;100;96;-76;-84;81;84;77;89;70;-80;99;80;92;75;93;-80;-72;70;90;100;92;81;78;72;77;90;95;82;86;73;78;91;96;90;87;76;68;78;98;-96;-88;75;93;76;88;69;-88;98;79;91;84;87;-84;-92;72;68;90;-80;75;73;84;79;70;93;96;74;-96;98;87;
12;84;77;70;70;68;99;79;-84;75;95;87;-72;82;74;92;75;75;87;77;88;78;78;75;78;87;72;79;-72;72;-80;98;-76;-88;84;90;70;95;96;100;-80;92;84;84;76;-88;68;72;73;98;78;84;-80;-92;70;-88;96;-96;89;96;81;90;93;90;90;80;91;81;93;93;76;94;86;-96;81;73;93;-84;89;69;100;98;98;91;
13;-84;78;67;77;80;84;90;78;73;97;85;-96;-100;75;-88;89;-96;-96;82;88;;90;74;87;90;76;88;99;85;86;83;66;-88;88;68;78;75;99;72;75;72;82;86;96;93;96;69;93;90;100;80;-80;102;85;82;83;69;80;92;78;81;94;78;;80;86;-72;-72;79;-80;93;-68;-72;83;71;95;90;78;84;88;91;101;90;
14;-84;99;71;85;86;88;69;85;93;78;72;95;86;-72;;80;-96;90;67;75;90;83;-72;90;92;-100;100;77;72;78;66;79;74;78;75;80;80;82;84;-88;-80;87;81;-88;-80;84;86;88;88;93;90;94;89;102;90;96;91;68;-68;76;78;-96;85;78;93;101;78;-72;88;;-96;82;73;96;90;75;83;99;80;82;83;97;69;
15;-84;78;-88;90;85;78;86;100;69;;93;78;78;73;89;74;86;75;96;80;80;80;-68;84;67;97;-96;87;83;99;93;-80;92;86;-72;88;77;85;-96;90;66;72;96;102;78;-72;83;91;80;-96;82;76;-88;75;69;85;81;-72;71;101;84;-100;88;88;88;72;93;82;94;79;95;90;90;75;;99;68;82;90;83;78;-80;90;
16;84;95;-96;72;93;92;84;70;-80;93;72;80;87;70;79;84;69;-76;93;78;-96;95;68;98;90;94;78;81;82;98;77;96;81;79;90;75;-80;68;92;-84;-80;91;77;-88;-84;76;100;-88;93;78;89;87;72;91;70;86;87;90;74;78;70;100;73;-72;90;75;-92;99;84;89;98;81;88;96;75;-88;98;84;76;75;96;-72;73;
17;84;69;81;93;90;96;70;98;76;100;84;72;78;77;74;75;70;98;-84;86;81;93;-96;-80;72;84;95;-76;79;78;75;-72;79;77;100;73;76;80;81;-88;78;-88;-80;90;-80;87;88;92;95;68;91;89;-96;93;90;89;-92;73;84;96;-88;-72;75;87;82;-84;70;98;93;94;91;90;96;84;68;92;70;98;72;78;75;87;99;
18;-84;97;82;99;75;96;82;;-72;101;78;-96;76;68;96;102;94;93;88;84;-88;87;-88;82;80;78;79;78;77;-100;90;83;75;90;80;-72;95;78;85;88;85;99;69;83;80;83;90;73;-96;88;78;93;85;78;-68;91;90;89;90;88;86;-80;81;-80;84;80;75;74;66;72;100;92;-72;90;67;-96;;86;72;93;69;86;71;
19;-84;-96;-88;90;80;91;75;86;96;94;78;85;88;86;92;71;78;87;75;83;-68;80;;75;102;79;78;-96;88;100;86;101;-88;83;69;78;84;-96;99;96;78;95;73;90;72;69;-72;84;90;99;85;-80;67;82;68;80;-72;90;89;66;93;;88;-100;85;93;81;90;97;76;82;80;83;90;74;72;82;93;77;88;78;-80;-72;
20;-84;77;90;97;-100;89;82;90;90;99;83;88;75;75;86;96;90;-80;82;80;81;;-72;-80;-72;95;84;101;78;80;78;85;75;-96;88;74;76;85;66;68;99;72;96;69;100;102;83;92;94;80;-72;93;83;90;88;90;67;84;73;-96;-88;-96;;87;88;86;-88;78;72;82;93;93;80;85;69;78;78;86;79;-68;71;78;91;
21;84;89;86;91;81;70;73;84;70;-80;78;87;-72;99;91;-84;94;80;96;-92;72;92;90;72;75;75;87;68;98;93;76;90;89;-80;68;-80;84;-72;78;75;95;70;98;73;93;90;-96;84;-88;100;-88;79;78;92;75;70;100;81;93;93;96;78;76;96;-76;72;88;74;-84;77;69;-96;81;90;-88;98;84;95;98;87;77;82;79;
22;-84;88;102;84;90;93;83;-96;86;79;-96;99;;90;-88;92;78;99;85;88;74;90;71;-96;96;-80;-100;72;80;78;88;78;67;85;82;91;87;100;95;82;93;93;75;75;86;73;68;81;77;86;83;101;90;80;90;88;96;-68;-88;72;-72;97;78;94;80;83;69;90;76;-80;78;;69;-72;89;82;-72;85;75;78;84;66;80;
23;84;95;77;-72;95;68;-88;90;-96;98;-84;75;72;90;76;-92;93;94;100;99;92;78;-88;84;84;81;93;89;70;82;78;98;-80;98;89;81;93;77;87;88;72;96;72;96;80;81;91;75;87;79;70;-88;70;90;86;98;79;75;87;84;84;-80;90;76;69;68;74;75;-76;92;78;96;93;-84;70;-72;78;-80;100;73;-96;91;73;
24;-84;95;-72;78;-80;96;78;99;88;-96;77;84;93;78;82;69;72;83;74;-88;90;101;83;86;80;100;82;88;76;-96;97;78;90;79;81;102;93;75;85;;-100;80;88;-68;;83;93;75;66;87;89;78;90;71;-72;92;80;86;68;88;82;85;67;78;-80;94;85;96;99;86;90;75;84;91;-72;80;69;90;72;-88;90;-96;73;
25;84;92;98;96;89;90;73;-76;86;72;93;72;91;75;90;88;81;75;-96;74;70;87;84;-84;73;68;-88;77;84;98;100;69;70;93;-88;-96;-80;76;79;81;78;90;78;90;87;89;92;-88;-72;-80;75;98;99;68;70;84;91;-80;100;95;-84;84;81;98;94;-72;93;87;80;78;93;77;96;75;96;82;-92;95;78;79;72;70;76;
26;84;98;74;93;79;73;-80;68;-92;87;91;98;69;76;75;-96;78;76;90;91;73;82;90;72;81;100;70;-80;75;80;-80;89;84;-84;96;78;93;84;98;72;-72;81;87;-96;96;70;84;75;90;72;-84;84;79;-88;88;93;-88;98;68;87;96;78;86;95;77;78;92;90;-72;93;92;99;70;77;81;-76;100;-88;95;89;75;94;70;
27;84;82;87;95;98;90;-96;77;74;72;96;78;93;81;70;92;79;100;84;90;73;70;75;-72;-80;-80;90;93;68;75;72;92;-92;80;-84;99;87;-80;84;70;91;89;79;77;98;84;-88;81;69;-84;88;-76;76;96;93;100;75;78;-88;-88;-96;93;98;95;78;84;68;89;76;98;87;75;90;72;96;94;91;-72;78;70;73;81;86;
28;84;84;81;75;78;91;-88;91;75;98;98;-76;80;92;73;98;98;90;74;72;100;-80;90;82;68;69;72;93;-72;-88;89;-72;90;87;76;-84;79;81;95;84;93;72;96;75;84;73;87;89;-84;92;81;78;-96;79;-80;-96;75;96;99;100;86;78;-88;68;96;94;78;70;70;95;76;88;-92;70;70;93;77;-80;77;90;93;87;84;
29;84;-72;-88;98;72;-92;100;78;84;89;78;98;93;88;72;81;87;-88;86;75;84;76;74;92;93;-72;100;91;95;95;90;-84;90;93;99;-88;81;70;98;89;77;72;96;91;79;70;98;87;-80;69;75;78;-84;78;73;73;77;68;-96;75;76;94;92;84;93;82;-80;81;87;96;80;75;70;90;79;84;90;68;-76;96;70;-80;-96;
30;84;68;75;82;75;78;87;72;-88;95;92;-88;98;-92;-96;90;80;93;-96;-84;98;77;99;95;74;87;78;72;-80;84;96;84;68;78;70;89;93;91;76;81;89;98;70;79;87;92;77;75;79;98;90;100;84;72;84;-88;96;90;81;94;73;69;91;70;-84;-72;75;88;78;-72;-76;70;-80;76;73;-80;96;81;90;93;86;93;100;
31;84;72;84;93;87;84;93;95;90;81;77;79;-80;-84;77;76;93;87;70;90;70;-72;-92;89;88;-88;76;-72;95;93;70;72;70;69;78;68;94;82;96;90;68;-80;-88;100;78;72;86;74;100;90;99;98;96;98;75;73;-96;92;-80;80;79;-76;-96;98;78;98;81;75;92;91;-84;-88;89;91;87;78;73;75;84;81;75;84;96;
32;-84;93;84;100;85;82;89;78;;80;76;-80;83;71;78;88;72;78;96;90;80;-96;83;-96;81;90;86;88;93;66;95;75;91;82;67;69;78;-80;-100;69;-96;94;74;-72;99;-68;-88;90;99;101;86;77;93;73;102;75;80;82;78;87;-72;85;-72;88;78;72;90;96;80;90;97;85;-88;92;88;;90;79;86;83;68;84;75;
33;84;-84;92;78;72;70;84;78;-96;90;94;89;77;75;75;75;-80;95;76;84;89;80;86;69;70;95;75;78;98;96;-88;-80;96;91;-96;100;70;87;87;87;-76;100;68;-92;81;81;81;98;68;-72;77;72;-88;-80;72;70;90;93;73;98;99;82;88;79;84;92;73;-88;93;93;93;91;79;74;78;-72;90;84;98;96;90;76;-84;
