p;all;singular;with_generator;without_generator;;;;
3;9;3;5;1;;33,33333333;55,55555556;11,11111111
5;25;5;18;2;;20;72;8
7;49;7;36;6;;14,28571429;73,46938776;12,24489796
11;121;11;95;15;;9,090909091;78,51239669;12,39669421
13;169;13;129;27;;7,692307692;76,33136095;15,97633136
17;289;17;232;40;;5,882352941;80,27681661;13,84083045
19;361;19;279;63;;5,263157895;77,28531856;17,45152355
23;529;23;429;77;;4,347826087;81,09640832;14,5557656
29;841;29;686;126;;3,448275862;81,56956005;14,98216409
31;961;31;750;180;;3,225806452;78,04370447;18,73048907
37;1369;37;1080;252;;2,702702703;78,88970051;18,40759679
41;1681;41;1370;270;;2,43902439;81,49910767;16,06186794
43;1849;43;1449;357;;2,325581395;78,36668469;19,30773391
47;2209;47;1817;345;;2,127659574;82,25441376;15,61792666
53;2809;53;2314;442;;1,886792453;82,37807049;15,73513706
59;3481;59;2871;551;;1,694915254;82,47629991;15,82878483
61;3721;61;2915;745;;1,639344262;78,33915614;20,0214996
67;4489;67;3564;858;;1,492537313;79,3940744;19,11338828
71;5041;71;4130;840;;1,408450704;81,92818885;16,66336044
73;5329;73;4230;1026;;1,369863014;79,37699381;19,25314318
79;6241;79;4953;1209;;1,265822785;79,36228169;19,37189553
83;6889;83;5699;1107;;1,204819277;82,72608506;16,06909566
89;7921;89;6556;1276;;1,123595506;82,76732736;16,10907714
97;9409;97;7464;1848;;1,030927835;79,32830269;19,64076948
101;10201;101;8400;1700;;0,99009901;82,34486815;16,66503284
103;10609;103;8415;2091;;0,970873786;79,31944575;19,70968046
107;11449;107;9487;1855;;0,934579439;82,86313215;16,20228841
109;11881;109;9441;2331;;0,917431193;79,46300816;19,61956064
113;12769;113;10556;2100;;0,884955752;82,6689639;16,44608035
